case,n,method,scope,rank,epsilon,width,degree,status,residual_upper,distance_upper,bound_upper,bound_lower,cutoff,seconds,reason
skew_strong,256,uncorrected,wide,83,"[3, 32]",,,above_target,,,,0.5312670176069269,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031233199988491833,
skew_strong,256,uncorrected,wide,84,"[49, 512]",,,above_target,,,,0.5414277682012694,"[27473416655753778922589000223, 316912650057057350374175801344]",0.03182370006106794,
skew_strong,256,uncorrected,wide,85,"[25, 256]",,,above_target,,,,0.5515211786861558,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031007800018414855,
skew_strong,256,uncorrected,wide,86,"[51, 512]",,,above_target,,,,0.5615548499211603,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031833000015467405,
skew_strong,256,uncorrected,wide,87,"[13, 128]",,,above_target,,,,0.5715155123506723,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031222499907016754,
skew_strong,256,uncorrected,wide,88,"[53, 512]",,,above_target,,,,0.5814020559838334,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031884799944236875,
skew_strong,256,uncorrected,wide,89,"[27, 256]",,,above_target,,,,0.5912695148576298,"[27473416655753778922589000223, 316912650057057350374175801344]",0.03144519997294992,
skew_strong,256,uncorrected,wide,90,"[55, 512]",,,above_target,,,,0.6011732843638876,"[27473416655753778922589000223, 316912650057057350374175801344]",0.032128100050613284,
skew_strong,256,uncorrected,wide,91,"[7, 64]",,,above_target,,,,0.6110064835393915,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031758800032548606,
skew_strong,256,uncorrected,wide,92,"[57, 512]",,,above_target,,,,0.6207678689200963,"[27473416655753778922589000223, 316912650057057350374175801344]",0.0323983000125736,
skew_strong,256,uncorrected,wide,93,"[29, 256]",,,above_target,,,,0.6304633049053755,"[27473416655753778922589000223, 316912650057057350374175801344]",0.0322381000733003,
skew_strong,256,uncorrected,wide,94,"[59, 512]",,,above_target,,,,0.6400941377903244,"[27473416655753778922589000223, 316912650057057350374175801344]",0.03230240009725094,
skew_strong,256,uncorrected,wide,95,"[15, 128]",,,above_target,,,,0.6496498103373571,"[27473416655753778922589000223, 316912650057057350374175801344]",0.032101199962198734,
skew_strong,256,uncorrected,wide,96,"[61, 512]",,,above_target,,,,0.6591328439027598,"[27473416655753778922589000223, 316912650057057350374175801344]",0.032507300027646124,
skew_strong,256,uncorrected,wide,97,"[31, 256]",,,above_target,,,,0.6687062324655537,"[27473416655753778922589000223, 316912650057057350374175801344]",0.032209299970418215,
skew_strong,256,uncorrected,wide,98,"[63, 512]",,,above_target,,,,0.6782249086583322,"[27473416655753778922589000223, 316912650057057350374175801344]",0.03254070004913956,
skew_strong,256,uncorrected,wide,99,"[1, 8]",,,above_target,,,,0.6876711747620623,"[27473416655753778922589000223, 316912650057057350374175801344]",0.032284699962474406,
skew_strong,256,uncorrected,wide,100,"[1, 512]",,,not_certified,,,,,"[27473416655753778922589000223, 316912650057057350374175801344]",0.00548940000589937,The retained contact images leave a gap.
skew_strong,256,corrected,wide,1,"[31, 1024]",,,certified,0.02451976756701136,0.0034320419472964763,0.027951809514307834,,None,0.06766609998885542,
skew_strong,256,corrected,wide,2,"[3, 128]",,,above_target,,,,0.03159421529798273,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.027030800003558397,
skew_strong,256,corrected,wide,3,"[13, 512]",,,certified,0.03084777896990909,0.0025902139451672193,0.03343799291507631,,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.06797530001495034,
skew_strong,256,corrected,wide,4,"[1, 32]",,,above_target,,,,0.029008559641078808,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.027869500103406608,
skew_strong,256,corrected,wide,5,"[15, 512]",,,certified,0.027607859552230347,0.0032284714998428864,0.030836331052073233,,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.06728159997146577,
skew_strong,256,corrected,wide,6,"[33, 1024]",,,above_target,,,,0.030973022709514783,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.028105000033974648,
skew_strong,256,corrected,wide,7,"[25, 1024]",,,above_target,,,,0.02819475709108977,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.027145200059749186,
skew_strong,256,corrected,wide,8,"[27, 1024]",,,above_target,,,,0.033050453362044326,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.027142800041474402,
skew_strong,256,corrected,wide,9,"[29, 1024]",,,certified,0.03074081477787094,0.003074299060108221,0.03381511383797916,,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.0671710999449715,
skew_strong,256,corrected,wide,10,"[17, 512]",,,above_target,,,,0.033037865437178834,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02870650007389486,
skew_strong,256,corrected,wide,11,"[35, 1024]",,,above_target,,,,0.0351557196295121,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.028632699977606535,
skew_strong,256,corrected,wide,12,"[7, 256]",,,above_target,,,,0.0298248837780434,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02766759996302426,
skew_strong,256,corrected,wide,13,"[9, 256]",,,above_target,,,,0.03733895751128994,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.028713000006973743,
skew_strong,256,corrected,wide,14,"[37, 1024]",,,above_target,,,,0.03958755162032737,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.028519699932076037,
skew_strong,256,corrected,wide,15,"[19, 512]",,,above_target,,,,0.04190175584133542,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02865300001576543,
skew_strong,256,corrected,wide,16,"[39, 1024]",,,above_target,,,,0.04431603057914458,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02894780004862696,
skew_strong,256,corrected,wide,17,"[5, 128]",,,above_target,,,,0.04680764692309479,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.03234979999251664,
skew_strong,256,corrected,wide,18,"[41, 1024]",,,above_target,,,,0.049344888341563524,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.028248699964024127,
skew_strong,256,corrected,wide,19,"[21, 512]",,,above_target,,,,0.0519473292128152,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02846920001320541,
skew_strong,256,corrected,wide,20,"[23, 1024]",,,above_target,,,,0.029492060897117794,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.027320499997586012,
skew_strong,256,corrected,wide,21,"[43, 1024]",,,above_target,,,,0.05461466198834753,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.028253199998289347,
skew_strong,256,corrected,wide,22,"[11, 256]",,,above_target,,,,0.057348118192497494,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02825890004169196,
skew_strong,256,corrected,wide,23,"[45, 1024]",,,above_target,,,,0.06015775690021483,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02867640007752925,
skew_strong,256,corrected,wide,24,"[23, 512]",,,above_target,,,,0.06301553496463672,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029392399941571057,
skew_strong,256,corrected,wide,25,"[47, 1024]",,,above_target,,,,0.06593797485562539,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02952380001079291,
skew_strong,256,corrected,wide,26,"[3, 64]",,,above_target,,,,0.06892781129651122,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029909399920143187,
skew_strong,256,corrected,wide,27,"[49, 1024]",,,above_target,,,,0.07197702919557511,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029495999915525317,
skew_strong,256,corrected,wide,28,"[25, 512]",,,above_target,,,,0.07504961277622449,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029336899984627962,
skew_strong,256,corrected,wide,29,"[51, 1024]",,,above_target,,,,0.07821762161474732,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.030005799955688417,
skew_strong,256,corrected,wide,30,"[13, 256]",,,above_target,,,,0.08144781541003482,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029400200000964105,
skew_strong,256,corrected,wide,31,"[53, 1024]",,,above_target,,,,0.08473989588709221,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02942899998743087,
skew_strong,256,corrected,wide,32,"[11, 512]",,,above_target,,,,0.044479619109461035,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.027214600006118417,
skew_strong,256,corrected,wide,33,"[27, 512]",,,above_target,,,,0.08813438005800997,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029429799993522465,
skew_strong,256,corrected,wide,34,"[19, 1024]",,,above_target,,,,0.10212467433626995,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02696230006404221,
skew_strong,256,corrected,wide,35,"[55, 1024]",,,above_target,,,,0.09143400409342892,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.02990299998782575,
skew_strong,256,corrected,wide,36,"[7, 128]",,,above_target,,,,0.09494247571095646,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029762200079858303,
skew_strong,256,corrected,wide,37,"[57, 1024]",,,above_target,,,,0.09855685053659627,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029572000028565526,
skew_strong,256,corrected,wide,38,"[29, 512]",,,above_target,,,,0.1022275346842977,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.029531699954532087,
skew_strong,256,corrected,wide,39,"[5, 256]",,,above_target,,,,0.07503919081250132,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.026500400039367378,
skew_strong,256,corrected,wide,40,"[59, 1024]",,,above_target,,,,0.10591845770187833,"[35433128108277460302387399283, 1267650600228229401496703205376]",0.03014749998692423,
