case,n,method,scope,status,epsilon,width,degree,residual_upper,distance_upper,bound_upper,construction_seconds,proposal_seconds,total_seconds,certified,pruned,not_certified
frequency_2_asym_0.35_ripple_0.12,1024,uncorrected,standard,certified,"[1, 256]",,,0.06893811518103,0.009863807745670337,0.07880192292670034,0.03838849999010563,0.05344839999452233,3.9422213999787346,1,35,1
frequency_2_asym_0.35_ripple_0.12,1024,corrected,standard,certified,"[9, 1024]",,,0.05197867761915502,0.0015901221583283106,0.05356879977748333,0.03910509997513145,0.05604429997038096,4.594720599940047,5,30,2
frequency_4_asym_0.15_ripple_0,256,polynomial,standard,certified,,6,3,0.09702104379776853,0.006062778876565846,0.10308382267433439,0.010078800027258694,0.004432399990037084,0.44741770008113235,1,28,1
frequency_4_asym_0.15_ripple_0,256,uncorrected,standard,certified,"[5, 512]",,,0.16748279267603097,0.022069509697567265,0.18955230237359824,0.010121200000867248,0.0382252000272274,1.3747161000501364,2,35,0
frequency_4_asym_0.15_ripple_0,256,corrected,standard,certified,"[11, 512]",,,0.18646898410260243,0.007772372998762399,0.19424135710136484,0.010562799987383187,0.03825029998552054,1.3980429000221193,1,36,0
frequency_4_asym_0.15_ripple_0,1024,polynomial,standard,certified,,9,3,0.01614968992864314,0.0011935268271441313,0.01734321675578727,0.03929330001119524,0.005437200074084103,1.7112676000688225,1,28,1
frequency_4_asym_0.15_ripple_0,1024,uncorrected,standard,certified,"[7, 2048]",,,0.08467170847883916,0.0076237162792092555,0.09229542475804842,0.03886600001715124,0.08638090000022203,4.51982060004957,2,35,0
frequency_4_asym_0.15_ripple_0,1024,corrected,standard,certified,"[1, 128]",,,0.028578724435975957,0.001244971714305996,0.029823696150281954,0.03968769998755306,0.07571650005411357,4.784131200052798,3,34,0
frequency_4_asym_0.15_ripple_0.12,256,polynomial,standard,certified,,4,2,0.29236754554185035,0.005358074814634965,0.2977256203564853,0.010298099950887263,0.0030715999891981483,0.15027019998524338,1,6,23
frequency_4_asym_0.15_ripple_0.12,256,uncorrected,standard,certified,"[1, 128]",,,0.22467701401069995,0.01921209390081424,0.2438891079115142,0.010238799965009093,0.04298919998109341,0.614375300006941,1,11,25
frequency_4_asym_0.15_ripple_0.12,256,corrected,standard,certified,"[9, 512]",,,0.5334735672183084,0.008817302785637209,0.5422908700039456,0.016796399955637753,0.04340009996667504,0.7915745999198407,4,8,25
frequency_4_asym_0.15_ripple_0.12,1024,polynomial,standard,certified,,6,2,0.06287108860948454,0.0012224960734871584,0.06409358468297169,0.03921930002979934,0.005646600038744509,1.57271950005088,3,18,9
frequency_4_asym_0.15_ripple_0.12,1024,uncorrected,standard,certified,"[3, 1024]",,,0.10053849520398754,0.0071874636541691345,0.10772595885815667,0.04543219995684922,0.08043480000924319,2.5171216999879107,2,12,23
frequency_4_asym_0.15_ripple_0.12,1024,corrected,standard,certified,"[9, 2048]",,,0.13094193029590187,0.0015177848482417966,0.13245971514414367,0.04029360006097704,0.07696679991204292,2.070760300033726,2,6,29
